City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,cabo san lucas,22.8909,-109.9124,25.98,25,15,0.56,MX,1720092897
153,aykhal,66.0,111.5,17.1,34,26,3.78,RU,1720092816
154,chardara,41.2547,67.9692,33.64,20,0,6.41,KZ,1720092899
155,puerto deseado,-47.7503,-65.8938,0.8,86,96,16.53,AR,1720092901
156,berezovyy,51.6667,135.7,20.27,96,82,1.67,RU,1720092902
157,ilulissat,69.2167,-51.1,10.01,46,20,6.17,GL,1720092903
158,manta,-0.95,-80.7333,23.88,83,100,2.06,EC,1720092905
159,svislach,53.6404,27.9199,19.14,66,96,2.16,BY,1720092906
160,kingston,17.997,-76.7936,28.53,79,20,7.2,JM,1720092907
161,ilkal,15.9667,76.1333,28.0,61,100,10.6,IN,1720092909
162,san jose del guaviare,2.5729,-72.6459,21.33,99,94,0.92,CO,1720092591
163,vilyuchinsk,52.9306,158.4028,9.15,94,100,1.12,RU,1720092805
164,ingeniero guillermo n. juarez,-23.9,-61.85,16.68,84,1,4.0,AR,1720092912
165,guarapari,-20.6667,-40.4975,24.74,52,0,1.75,BR,1720092914
166,nova sintra,14.8667,-24.7167,22.2,82,37,1.53,CV,1720092337
167,labrador city,52.9463,-66.9114,13.95,100,100,4.63,CA,1720092461
168,naze,28.3667,129.4833,27.51,84,35,2.25,JP,1720092368
169,kontagora,10.3999,5.4695,28.67,63,92,1.96,NG,1720092920
170,nizhneudinsk,54.9076,99.0276,19.33,85,93,4.16,RU,1720092621
171,wailua homesteads,22.0669,-159.378,22.66,88,75,8.23,US,1720092922
172,whitehorse,60.7161,-135.0538,11.07,71,75,3.6,CA,1720092924
173,kolpashevo,58.3131,82.9089,16.32,76,99,4.63,RU,1720092926
174,mancora,-4.1078,-81.0475,20.53,77,48,1.59,PE,1720092927
175,callaway,30.153,-85.5699,25.59,95,20,1.54,US,1720092929
176,anna regina,7.2644,-58.5077,27.11,85,9,5.13,GY,1720092931
177,aasiaat,68.7098,-52.8699,3.02,77,3,4.7,GL,1720092935
178,enriquillo,17.9,-71.2333,27.27,83,100,4.44,DO,1720092936
179,cam pha mines,21.0167,107.3,26.9,81,66,1.99,VN,1720092938
180,saint-joseph,-21.3667,55.6167,24.21,72,53,6.23,RE,1720092939
181,flin flon,54.7682,-101.865,12.91,82,40,1.03,CA,1720092941
182,puerto ayora,-0.7393,-90.3518,20.86,97,98,1.6,EC,1720092943
183,byron bay,-28.65,153.6167,12.62,62,96,7.23,AU,1720092945
184,thompson,55.7435,-97.8558,8.09,100,75,1.03,CA,1720092947
185,tanout,14.9709,8.8879,36.02,31,9,3.78,NE,1720092957
186,vila franca do campo,37.7167,-25.4333,21.23,62,34,1.23,PT,1720092959
187,thinadhoo,0.5333,72.9333,29.16,73,100,3.39,MV,1720092962
188,igarka,67.4667,86.5833,22.23,46,78,3.57,RU,1720092964
189,at taj,24.2049,23.2857,40.35,12,23,3.64,LY,1720092570
190,moranbah,-22.0016,148.0466,15.57,81,82,8.34,AU,1720092960
191,dadukou,26.5479,101.7054,25.65,79,99,1.04,CN,1720092969
192,howard springs,-12.497,131.047,20.73,53,2,3.26,AU,1720092970
193,ubatuba,-23.4339,-45.0711,25.59,52,3,1.69,BR,1720092972
